id_hospital,hospital,especialidad,camas_totales,camas_ocupadas
relation/11632168,Complejo de hospitales IMSS,general,3,5
relation/11632168,Complejo de hospitales IMSS,trauma,12,4
relation/11632168,Complejo de hospitales IMSS,urgencias,5,10
way/27804337,Centro Médico ABC,general,2,2
way/27804337,Centro Médico ABC,cardiologia,3,4
way/27804337,Centro Médico ABC,pediatria,1,5
way/27804337,Centro Médico ABC,ginecologia,6,1
way/27804337,Centro Médico ABC,emergencia,14,1
way/27804337,Centro Médico ABC,cirugia,15,10
way/27804337,Centro Médico ABC,cardiologia,14,7
way/27804337,Centro Médico ABC,oncologia,5,3
way/27804337,Centro Médico ABC,cardiologia,8,1
way/27804337,Centro Médico ABC,radiologia,2,8
way/27804337,Centro Médico ABC,intensivo,4,3
way/27804337,Centro Médico ABC,interno,14,7
node/319436637,Hospital San Angel Inn,pediatria,9,6
node/319436637,Hospital San Angel Inn,urgencias,11,7
node/319436637,Hospital San Angel Inn,cirugia,4,2
node/739035810,Clínica Hospital 8 IMSS,general,15,4
node/739035810,Clínica Hospital 8 IMSS,trauma,2,7
node/739035810,Clínica Hospital 8 IMSS,neurologia,13,8
node/739035810,Clínica Hospital 8 IMSS,urgencias,2,8
way/883666969,Hospital General Dr. Fernando Quiroz Gutiérrez ISSSTE,general,11,2
way/883666969,Hospital General Dr. Fernando Quiroz Gutiérrez ISSSTE,cardiologia,14,5
way/883666969,Hospital General Dr. Fernando Quiroz Gutiérrez ISSSTE,radiologia,2,7
way/883666969,Hospital General Dr. Fernando Quiroz Gutiérrez ISSSTE,intensivo,1,4
way/986068924,Centro de Atención a la Salud T-III Jalalpa,pediatria,3,5
way/986068924,Centro de Atención a la Salud T-III Jalalpa,ginecologia,15,8
way/986068924,Centro de Atención a la Salud T-III Jalalpa,urgencias,2,3
way/1364990384,,general,7,2
way/1364990384,,cirugia,10,3
way/1364990384,,oncologia,6,9
way/1364990384,,radiologia,13,5
way/1365216619,"Hospital Regional ""Lic. Adolfo López Mateos""",trauma,4,6
way/1365216619,"Hospital Regional ""Lic. Adolfo López Mateos""",ortopedia,2,5
way/1365216619,"Hospital Regional ""Lic. Adolfo López Mateos""",urgencias,15,6
way/1365216619,"Hospital Regional ""Lic. Adolfo López Mateos""",cirugia,13,3
way/1365266055,"Hospital Regional ""Lic. Adolfo López Mateos""",general,3,2
way/1365266055,"Hospital Regional ""Lic. Adolfo López Mateos""",neurologia,10,4
way/1365266055,"Hospital Regional ""Lic. Adolfo López Mateos""",cardiologia,14,2
way/1365266055,"Hospital Regional ""Lic. Adolfo López Mateos""",intensivo,1,5
node/2324519237,Hospital General Enrique Cabrera,pediatria,4,9
node/2324519237,Hospital General Enrique Cabrera,general,13,3
node/2324519237,Hospital General Enrique Cabrera,urgencias,11,2
node/2324519237,Hospital General Enrique Cabrera,interno,8,6
node/3977351148,,general,8,7
node/3977351148,,ginecologia,10,7
node/3977351148,,maternidad,10,10
node/3977351148,,cirugia,7,2
node/4403446355,Hospital vicentino y casa hogar,trauma,12,2
node/4403446355,Hospital vicentino y casa hogar,urgencias,9,7
node/4403446355,Hospital vicentino y casa hogar,radiologia,15,3
node/4403446355,Hospital vicentino y casa hogar,intensivo,9,0
node/9768668045,Hospital General Enrique Cabrera,general,7,8
node/9768668045,Hospital General Enrique Cabrera,cardiologia,2,8
node/9768668045,Hospital General Enrique Cabrera,oncologia,15,8
node/9768668045,Hospital General Enrique Cabrera,neurologia,6,7
