origen,destino,distancia_km,factor_trafico,peso,tipo_ruta
V0_0,V0_1,0.376,1.0,0.376,vial-vial
V0_1,V0_2,0.204,1.0,0.204,vial-vial
V1_0,V1_1,0.332,1.0,0.332,vial-vial
V1_1,V1_2,0.064,1.0,0.064,vial-vial
V2_0,V2_1,0.109,1.0,0.109,vial-vial
V2_1,V2_2,0.169,1.0,0.169,vial-vial
V3_0,V3_1,1.886,1.0,1.886,vial-vial
V3_1,V3_2,0.961,1.0,0.961,vial-vial
V4_0,V4_1,0.197,1.0,0.197,vial-vial
V4_1,V4_2,0.134,1.0,0.134,vial-vial
V5_0,V5_1,0.076,1.0,0.076,vial-vial
V5_1,V5_2,0.046,1.0,0.046,vial-vial
V6_0,V6_1,0.127,1.0,0.127,vial-vial
V6_1,V6_2,0.132,1.0,0.132,vial-vial
V7_0,V7_1,0.532,1.0,0.532,vial-vial
V7_1,V7_2,0.75,1.0,0.75,vial-vial
V8_0,V8_1,0.122,1.0,0.122,vial-vial
V8_1,V8_2,0.202,1.0,0.202,vial-vial
V9_0,V9_1,0.043,1.0,0.043,vial-vial
V9_1,V9_2,0.168,1.0,0.168,vial-vial
V10_0,V10_1,0.091,1.0,0.091,vial-vial
V10_1,V10_2,0.111,1.0,0.111,vial-vial
V11_0,V11_1,0.231,1.0,0.231,vial-vial
V11_1,V11_2,0.133,1.0,0.133,vial-vial
V12_0,V12_1,0.019,1.0,0.019,vial-vial
V12_1,V12_2,0.018,1.0,0.018,vial-vial
V13_0,V13_1,0.071,1.0,0.071,vial-vial
V13_1,V13_2,0.031,1.0,0.031,vial-vial
V14_0,V14_1,0.0,1.0,0.0,vial-vial
V14_1,V14_2,0.034,1.0,0.034,vial-vial
V15_0,V15_1,0.131,1.0,0.131,vial-vial
V15_1,V15_2,0.068,1.0,0.068,vial-vial
V16_0,V16_1,0.028,1.0,0.028,vial-vial
V16_1,V16_2,0.023,1.0,0.023,vial-vial
V17_0,V17_1,0.014,1.0,0.014,vial-vial
V17_1,V17_2,0.012,1.0,0.012,vial-vial
V18_0,V18_1,0.455,1.0,0.455,vial-vial
V18_1,V18_2,0.274,1.0,0.274,vial-vial
V19_0,V19_1,0.163,1.0,0.163,vial-vial
V19_1,V19_2,0.271,1.0,0.271,vial-vial
V20_0,V20_1,0.047,1.0,0.047,vial-vial
V20_1,V20_2,0.108,1.0,0.108,vial-vial
V21_0,V21_1,0.0,1.0,0.0,vial-vial
V21_1,V21_2,0.042,1.0,0.042,vial-vial
V22_0,V22_1,0.0,1.0,0.0,vial-vial
V22_1,V22_2,0.034,1.0,0.034,vial-vial
V23_0,V23_1,0.693,1.0,0.693,vial-vial
V23_1,V23_2,0.718,1.0,0.718,vial-vial
V24_0,V24_1,0.018,1.0,0.018,vial-vial
